date,cash,market_value,gross_exposure,net_exposure,equity,daily_return,drawdown,fold_id
2015-02-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-03-31,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-04-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-05-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-06-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-07-31,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-08-31,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-09-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-10-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-11-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-24,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-25,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-12-28,58172.78400369176,41778.73203089833,41778.73203089833,41778.73203089833,99951.5160345901,-0.0004848396540990674,0.0004848396540990507,0
2015-12-29,58172.78400369176,41569.82408049703,41569.82408049703,41569.82408049703,99742.60808418879,-0.0020900928639142613,0.0025739191581121124,0
2015-12-30,58172.78400369176,40891.656407505274,40891.656407505274,40891.656407505274,99064.44041119704,-0.006799177262532985,0.009355595888029639,0
2015-12-31,58172.78400369176,40404.09851014614,40404.09851014614,40404.09851014614,98576.8825138379,-0.004921623696004129,0.014231174861620966,0
2016-01-01,58172.78400369176,40404.09851014614,40404.09851014614,40404.09851014614,98576.8825138379,0.0,0.014231174861620966,0
2016-01-04,58172.78400369176,39788.61021962762,39788.61021962762,39788.61021962762,97961.39422331938,-0.006243738641583896,0.020386057766806187,0
2016-01-05,58172.78400369176,40082.664779663086,40082.664779663086,40082.664779663086,98255.44878335485,0.0030017392296921575,0.017445512166451516,0
2016-01-06,58172.78400369176,40288.05040362477,40288.05040362477,40288.05040362477,98460.83440731654,0.0020903229948554536,0.015391655926834646,0
2016-01-07,58172.78400369176,39991.98324467242,39991.98324467242,39991.98324467242,98164.76724836418,-0.0030069535844838846,0.0183523275163582,0
2016-01-08,58172.78400369176,39976.983501806855,39976.983501806855,39976.983501806855,98149.76750549862,-0.00015280169541498356,0.018502324945013825,0
2016-01-11,58172.78400369176,40723.81423121691,40723.81423121691,40723.81423121691,98896.59823490867,0.007609093209193896,0.0110340176509133,0
2016-01-12,58172.78400369176,40512.347341403365,40512.347341403365,40512.347341403365,98685.13134509513,-0.0021382625245738307,0.013148686549048725,0
2016-01-13,58172.78400369176,40527.47361642122,40527.47361642122,40527.47361642122,98700.25762011299,0.00015327815661470012,0.01299742379887015,0
2016-01-14,58172.78400369176,40187.91425590217,40187.91425590217,40187.91425590217,98360.69825959393,-0.0034403087560923584,0.016393017404060666,0
2016-01-15,58172.78400369176,39733.66758506,39733.66758506,39733.66758506,97906.45158875176,-0.004618172490432282,0.02093548411248237,0
2016-01-18,58172.78400369176,39361.91806297004,39361.91806297004,39361.91806297004,97534.7020666618,-0.00379698698152664,0.024652979333381956,0
2016-01-19,58172.78400369176,39456.40854682028,39456.40854682028,39456.40854682028,97629.19255051205,0.0009687883578672896,0.023708074494879546,0
2016-01-20,58172.78400369176,38615.91513977945,38615.91513977945,38615.91513977945,96788.69914347121,-0.00860903777941191,0.03211300856528789,0
2016-01-21,58172.78400369176,37865.82096867263,37865.82096867263,37865.82096867263,96038.6049723644,-0.0077498114732892365,0.039613950276356044,0
2016-01-22,58172.78400369176,37865.82096867263,37865.82096867263,37865.82096867263,96038.6049723644,0.0,0.039613950276356044,0
2016-01-25,58172.78400369176,39280.19783484936,39280.19783484936,39280.19783484936,97452.98183854112,0.01472717004358537,0.0254701816145888,0
2016-01-26,58172.78400369176,39716.61844602227,39716.61844602227,39716.61844602227,97889.40244971403,0.00447826842174992,0.021105975502859656,0
2016-01-27,58172.78400369176,39825.360865458846,39825.360865458846,39825.360865458846,97998.14486915061,0.001110870193455682,0.020018551308493917,0
2016-01-28,58172.78400369176,40004.05860994756,40004.05860994756,40004.05860994756,98176.84261363932,0.001823480890656759,0.018231573863606753,0
2016-01-29,58172.78400369176,40469.89875905216,40469.89875905216,40469.89875905216,98642.68276274392,0.004744908643455226,0.013573172372560803,0
2016-02-01,58172.78400369176,40268.492304593325,40268.492304593325,40268.492304593325,98441.27630828509,-0.0020417779486315846,0.01558723691714913,0
2016-02-02,58172.78400369176,39689.76023592055,39689.76023592055,39689.76023592055,97862.54423961231,-0.0058789573883660795,0.021374557603876892,0
2016-02-03,58172.78400369176,39579.229634299874,39579.229634299874,39579.229634299874,97752.01363799164,-0.0011294474559137013,0.022479863620083633,0
2016-02-04,58172.78400369176,39945.6198412478,39945.6198412478,39945.6198412478,98118.40384493956,0.003748160199592343,0.018815961550604405,0
2016-02-05,58172.78400369176,40017.1014418304,40017.1014418304,40017.1014418304,98189.88544552216,0.0007285238832011043,0.01810114554477841,0
2016-02-08,58172.78400369176,39114.95664677024,39114.95664677024,39114.95664677024,97287.740650462,-0.009187756875026487,0.027122593495379987,0
2016-02-09,58172.78400369176,38785.314823165536,38785.314823165536,38785.314823165536,96958.0988268573,-0.0033883182135870937,0.03041901173142702,0
2016-02-10,58172.78400369176,38639.81963339448,38639.81963339448,38639.81963339448,96812.60363708624,-0.0015005986248850522,0.03187396362913758,0
2016-02-11,58172.78400369176,38137.57503606379,38137.57503606379,38137.57503606379,96310.35903975555,-0.005187801778510304,0.036896409602444474,0
2016-02-12,58172.78400369176,38584.81279426813,38584.81279426813,38584.81279426813,96757.5967979599,0.004643713954173068,0.03242403202040106,0
2016-02-15,58172.78400369176,37945.70310886204,37945.70310886204,37945.70310886204,96118.4871125538,-0.006605266217397099,0.03881512887446195,0
2016-02-16,58172.78400369176,37683.04976220429,37683.04976220429,37683.04976220429,95855.83376589605,-0.002732599675130065,0.041441662341039485,0
2016-02-17,58172.78400369176,38423.32059916854,38423.32059916854,38423.32059916854,96596.1046028603,0.007722752052547799,0.03403895397139699,0
2016-02-18,58172.78400369176,38379.5127197206,38379.5127197206,38379.5127197206,96552.29672341236,-0.00045351600489529353,0.03447703276587635,0
2016-02-19,58172.78400369176,38569.648739010096,38569.648739010096,38569.648739010096,96742.43274270186,0.00196925423570371,0.03257567257298142,0
2016-02-22,58172.78400369176,40053.37346431613,40053.37346431613,40053.37346431613,98226.15746800789,0.015336855640711189,0.01773842531992108,0
2016-02-23,58172.78400369176,40015.45657968521,40015.45657968521,40015.45657968521,98188.24058337697,-0.00038601616522837556,0.018117594166230266,0
2016-02-24,58172.78400369176,38938.014706522226,38938.014706522226,38938.014706522226,97110.79871021399,-0.010973227208894487,0.028892012897860114,0
2016-02-25,58172.78400369176,39776.94237878919,39776.94237878919,39776.94237878919,97949.72638248095,0.008638871097851775,0.020502736175190512,0
2016-02-26,58172.78400369176,39701.70973959565,39701.70973959565,39701.70973959565,97874.49374328741,-0.0007680740107406381,0.021255062567125862,0
2016-02-29,58172.78400369176,40248.4340389967,40248.4340389967,40248.4340389967,98421.21804268846,0.005585973203958927,0.01578781957311541,0
2016-03-01,58172.78400369176,40482.85262644291,40482.85262644291,40482.85262644291,98655.63663013467,0.002381789131531864,0.013443633698653285,0
2016-03-02,58172.78400369176,41068.29151651263,41068.29151651263,41068.29151651263,99241.0755202044,0.005934165650002932,0.007589244797956053,0
2016-03-03,58172.78400369176,41312.06313279271,41312.06313279271,41312.06313279271,99484.84713648447,0.002456358065471065,0.005151528635155264,0
2016-03-04,58172.78400369176,41447.66863760352,41447.66863760352,41447.66863760352,99620.45264129528,0.0013630769781931562,0.003795473587047163,0
2016-03-07,58172.78400369176,41878.44073855877,41878.44073855877,41878.44073855877,100051.22474225053,0.004324133142682429,0.0,0
2016-03-08,58172.78400369176,41695.178085803986,41695.178085803986,41695.178085803986,99867.96208949575,-0.0018316882499629372,0.0018316882499629596,0
2016-03-09,58172.78400369176,42526.20454108715,42526.20454108715,42526.20454108715,100698.98854477891,0.008321251759783044,0.0,0
2016-03-10,58172.78400369176,41991.82415634394,41991.82415634394,41991.82415634394,100164.6081600357,-0.005306710548592886,0.005306710548592898,0
2016-03-11,58172.78400369176,42049.92446509004,42049.92446509004,42049.92446509004,100222.7084687818,0.0005800482806588292,0.00472974041626368,0
2016-03-14,58172.78400369176,42443.862289220095,42443.862289220095,42443.862289220095,100616.64629291186,0.003930624407868288,0.0008177068415184713,0
2016-03-15,58172.78400369176,42264.71885237098,42264.71885237098,42264.71885237098,100437.50285606274,-0.0017804552571509813,0.0025967062082246782,0
2016-03-16,58172.78400369176,42690.350440353155,42690.350440353155,42690.350440353155,100863.13444404492,0.004237775491015006,0.0,0
2016-03-17,58172.78400369176,43347.076577335596,43347.076577335596,43347.076577335596,101519.86058102736,0.006511062149736846,0.0,0
2016-03-18,58172.78400369176,43859.2390986979,43859.2390986979,43859.2390986979,102032.02310238966,0.005044949022103173,0.0,0
2016-03-21,58172.78400369176,44194.53652447462,44194.53652447462,44194.53652447462,102367.32052816638,0.0032861979561087384,0.0,0
2016-03-22,58172.78400369176,43335.92501193285,43335.92501193285,43335.92501193285,101508.70901562461,-0.008387554818390708,0.008387554818390737,0
2016-03-23,100695.18451068971,0.0,0.0,0.0,100695.18451068971,-0.008014332098437826,0.016334666267020105,0
2016-03-24,65836.78088509303,34817.04947131872,34817.04947131872,34817.04947131872,100653.83035641175,-0.00041068651374853715,0.016738644353626153,0
2016-03-25,65836.78088509303,35137.926516354084,35137.926516354084,35137.926516354084,100974.70740144711,0.003187926817083353,0.013604079109759358,0
